"","loan_amnt","term","int_rate","grade","sub_grade","emp_length","home_ownership","annual_inc","verification_status","purpose","zip_code","dti","delinq_2yrs","earliest_cr_line","inq_last_6mths","open_acc","pub_rec","revol_bal","revol_util","total_acc"
"393971",24000," 36 months",15.61,"C","C5","4 years","RENT",69000,"Verified","debt_consolidation","191xx",22.05,0,"Dec-00",2,14,0,32775,68,16
"262823",13000," 60 months",13.35,"C","C2","1 year","MORTGAGE",55000,"Not Verified","credit_card","194xx",23.04,0,"Mar-00",1,7,0,12476,84.3,17
"409075",24000," 36 months",6.62,"A","A2","9 years","RENT",64000,"Source Verified","home_improvement","995xx",6.45,0,"Aug-90",0,16,0,1413,21.4,28
"372667",6775," 36 months",10.99,"B","B3","2 years","RENT",30000,"Source Verified","debt_consolidation","103xx",23.64,0,"Jul-07",0,7,0,2250,28.8,10
"681126",18000," 60 months",13.99,"C","C4","10+ years","RENT",66000,"Source Verified","debt_consolidation","112xx",20.2,0,"Aug-00",0,26,0,28491,47.4,35
"291254",18000," 60 months",13.98,"C","C3","10+ years","MORTGAGE",55000,"Source Verified","debt_consolidation","232xx",39.25,1,"Dec-91",0,15,0,12379,50.9,39
"671829",5000," 36 months",9.99,"B","B3","10+ years","RENT",85000,"Verified","debt_consolidation","114xx",19.23,0,"Oct-00",1,11,2,2535,11.2,47
"862986",24000," 60 months",14.31,"C","C4","10+ years","MORTGAGE",80200,"Source Verified","debt_consolidation","476xx",16.79,2,"Sep-99",0,13,0,22879,52.7,43
"28721",12000," 60 months",15.95,"D","D4","10+ years","MORTGAGE",67000,"Source Verified","small_business","630xx",6.21,0,"Oct-96",3,4,0,5056,91.9,12
"509215",5000," 36 months",8.18,"B","B1","10+ years","MORTGAGE",28000,"Source Verified","credit_card","319xx",6.22,0,"Sep-97",2,9,1,4529,35.9,35
"302297",18000," 60 months",12.49,"B","B5","9 years","MORTGAGE",51500,"Not Verified","credit_card","073xx",30.27,0,"Aug-93",0,22,0,18667,41.2,44
"477802",11200," 36 months",10.64,"B","B4","10+ years","MORTGAGE",89000,"Verified","debt_consolidation","785xx",21.29,1,"Feb-90",1,19,0,20706,68,44
"567718",28000," 60 months",9.99,"B","B3","10+ years","MORTGAGE",150000,"Not Verified","debt_consolidation","359xx",29.97,0,"Oct-98",1,11,0,15835,22.4,38
"296761",3500," 36 months",14.49,"C","C4","10+ years","RENT",75000,"Source Verified","debt_consolidation","805xx",13.92,0,"Dec-06",3,11,1,1343,36.3,17
"573931",24000," 60 months",13.99,"C","C4","10+ years","RENT",90000,"Source Verified","credit_card","537xx",17.83,0,"May-01",2,10,0,38822,80,20
"44962",20400," 36 months",7.9,"A","A4","10+ years","MORTGAGE",71300,"Source Verified","credit_card","775xx",15.63,0,"Feb-91",0,12,0,33237,55.8,29
"670781",6400," 36 months",15.61,"D","D1","5 years","RENT",32000,"Not Verified","credit_card","423xx",9.49,0,"Dec-11",1,3,0,4716,72.6,4
"613721",35000," 36 months",13.99,"C","C4","4 years","MORTGAGE",120000,"Verified","credit_card","923xx",21.97,1,"May-96",1,14,0,18810,78.4,26
"792736",14975," 60 months",15.61,"D","D1","1 year","RENT",30005,"Source Verified","credit_card","945xx",36.6,0,"Apr-11",0,5,0,660,33,6
"798",9000," 36 months",13.49,"C","C1","7 years","MORTGAGE",50000,"Source Verified","debt_consolidation","333xx",1.99,3,"May-02",0,3,0,2462,42.4,15
"140968",10500," 36 months",7.62,"A","A3","10+ years","MORTGAGE",48000,"Verified","debt_consolidation","785xx",21.35,0,"Sep-97",0,11,0,21184,42.7,27
"403317",7850," 36 months",10.99,"B","B2","8 years","MORTGAGE",55000,"Source Verified","credit_card","308xx",15.3,1,"Jun-88",0,10,0,3526,47,47
"361798",35000," 60 months",20.99,"E","E4","3 years","MORTGAGE",115000,"Verified","debt_consolidation","600xx",14.54,0,"Sep-96",1,12,1,25710,96.7,26
"865728",12000," 36 months",10.49,"B","B3","7 years","MORTGAGE",70000,"Source Verified","home_improvement","212xx",3.09,0,"Nov-01",0,7,0,8759,50.6,13
"624918",30000," 60 months",19.99,"E","E4","4 years","MORTGAGE",220000,"Source Verified","debt_consolidation","752xx",13.06,1,"Apr-96",2,9,0,11429,29.2,34
"788565",35000," 36 months",13.33,"C","C3","9 years","MORTGAGE",103000,"Verified","debt_consolidation","356xx",12.86,0,"Oct-01",0,10,0,58352,59.8,18
"5913",21000," 36 months",12.42,"B","B4","6 years","MORTGAGE",158000,"Verified","debt_consolidation","630xx",12.16,0,"Sep-90",1,8,0,50863,82.4,37
"270454",7000," 36 months",12.99,"C","C1","< 1 year","RENT",21000,"Not Verified","car","786xx",7.59,0,"Jul-07",0,3,0,1670,72.6,5
"103025",20000," 36 months",18.85,"D","D3","< 1 year","MORTGAGE",135000,"Verified","other","070xx",14.72,0,"Oct-95",1,11,0,23096,81.7,35
"727126",16000," 36 months",9.17,"B","B2","10+ years","MORTGAGE",80000,"Not Verified","debt_consolidation","028xx",24.09,1,"Sep-97",0,14,0,17702,82.3,43
"558695",7000," 36 months",12.29,"C","C1","1 year","RENT",24000,"Verified","debt_consolidation","857xx",37.65,0,"Dec-94",0,6,1,3187,34.6,23
"212687",11000," 36 months",13.99,"C","C1","3 years","RENT",45000,"Not Verified","debt_consolidation","432xx",20.61,0,"Sep-03",1,16,0,14372,51.3,46
"465679",8000," 36 months",13.98,"C","C1","10+ years","MORTGAGE",100800,"Source Verified","debt_consolidation","150xx",8.42,1,"Jan-02",0,11,0,12537,40.6,34
"868602",11200," 60 months",16.49,"D","D3","8 years","RENT",50000,"Source Verified","debt_consolidation","051xx",11.33,1,"Sep-00",1,10,1,2844,18.2,25
"448399",11675," 36 months",12.85,"B","B4","10+ years","MORTGAGE",26000,"Not Verified","debt_consolidation","495xx",19.94,0,"Aug-99",1,7,0,8304,19.7,18
"493178",15000," 36 months",11.22,"B","B5","10+ years","RENT",2e+05,"Source Verified","debt_consolidation","601xx",16.81,0,"Apr-98",0,8,0,64955,25.9,17
"430453",5325," 36 months",15.31,"C","C4","5 years","RENT",23000,"Source Verified","credit_card","995xx",24.27,0,"Feb-09",0,9,0,7776,63.7,9
"710018",35000," 60 months",16.55,"D","D2","7 years","RENT",275000,"Source Verified","debt_consolidation","030xx",3.34,0,"Aug-95",1,9,4,19494,63.3,20
"796110",11000," 36 months",11.53,"B","B5","10+ years","MORTGAGE",160000,"Not Verified","other","221xx",14.93,1,"Jun-83",0,11,0,26409,94.3,27
"697019",9000," 36 months",8.18,"B","B1","1 year","MORTGAGE",65000,"Verified","credit_card","333xx",15.87,0,"Mar-03",1,14,0,19896,27.5,30
"345583",21000," 60 months",10.99,"B","B3","10+ years","MORTGAGE",85000,"Source Verified","credit_card","117xx",13.83,0,"Oct-96",0,15,0,34092,33.2,35
"541926",12500," 36 months",17.57,"D","D4","5 years","RENT",25000,"Source Verified","credit_card","330xx",17.08,0,"Nov-11",1,10,0,10994,32.9,15
"462148",20125," 36 months",15.61,"C","C4","5 years","MORTGAGE",48000,"Source Verified","debt_consolidation","134xx",24.58,0,"Mar-05",0,10,0,12282,75.3,14
"780862",8000," 36 months",8.18,"B","B1","10+ years","MORTGAGE",103000,"Not Verified","credit_card","225xx",6.78,0,"Aug-96",1,4,3,5201,62.7,21
"539114",2400," 36 months",10.99,"B","B4","1 year","OWN",45000,"Verified","debt_consolidation","104xx",27.12,0,"Nov-01",0,22,1,24005,54.9,35
"786193",30000," 36 months",12.29,"C","C1","4 years","OWN",60000,"Verified","home_improvement","785xx",29.92,0,"Jul-04",1,20,0,1471,3,37
"868568",5750," 36 months",15.59,"D","D1","8 years","RENT",46640,"Not Verified","debt_consolidation","622xx",28.77,0,"Nov-95",1,7,1,3028,77,10
"606010",28000," 36 months",9.99,"B","B3","5 years","MORTGAGE",103000,"Not Verified","debt_consolidation","235xx",23.95,0,"Feb-89",0,15,0,46364,46.6,24
"812235",12000," 60 months",8.18,"B","B1","< 1 year","RENT",36400,"Verified","debt_consolidation","463xx",12.13,0,"Sep-99",0,3,0,13558,92.2,9
"198012",15000," 36 months",13.11,"B","B4","10+ years","OWN",60000,"Not Verified","wedding","926xx",11.46,1,"Oct-96",0,13,0,15694,26.1,38
"620239",13000," 36 months",6.24,"A","A2","4 years","RENT",41200,"Not Verified","credit_card","402xx",18.7,0,"Aug-03",1,11,0,9769,29.3,29
"414055",18000," 36 months",7.62,"A","A3","10+ years","OWN",155000,"Not Verified","credit_card","019xx",15.48,0,"Apr-95",0,21,0,35650,19.9,46
